model,case_id,slice_idx,dice_liver,dice_tumor,dice_avg,hd_full_liver,hd_full_tumor,hd95_liver,hd95_tumor,hd95_avg
Dataset004_LiTSMaisiFullMixed,volume-43,59,0.9302,0.366,0.6481,135.5655,129.8692,13.6382,124.6204,69.1293
Dataset004_LiTSMaisiFullMixed,volume-53,64,0.9751,0.5356,0.7553,127.0873,140.2966,4.4286,9.7909,7.1098
Dataset004_LiTSMaisiFullMixed,volume-54,77,0.9397,0.5152,0.7274,309.5408,5.0681,10.0,5.0,7.5
Dataset004_LiTSMaisiFullMixed,volume-57,326,0.9599,0.8399,0.8999,21.951,85.1369,3.8281,2.5716,3.1998
Dataset004_LiTSMaisiFullMixed,volume-6,353,0.9558,0.8365,0.8962,78.4302,53.3403,18.6009,3.2441,10.9225
Dataset004_LiTSMaisiFullMixed,volume-62,114,0.9762,0.6906,0.8334,28.6192,7.1632,2.5781,3.2227,2.9004
Dataset004_LiTSMaisiFullMixed,volume-64,189,0.9696,0.9575,0.9636,166.7164,4.9774,3.169,2.2822,2.7256
Dataset004_LiTSMaisiFullMixed,volume-69,202,0.962,0.8177,0.8898,142.2572,159.7207,5.4963,155.0639,80.2801
Dataset004_LiTSMaisiFullMixed,volume-70,286,0.9578,0.8831,0.9205,33.4805,80.2519,3.4527,2.9883,3.2205
Dataset004_LiTSMaisiFullMixed,volume-71,75,0.9411,0.7193,0.8302,85.2343,48.0939,5.9611,13.371,9.666
Dataset004_LiTSMaisiFullMixed,volume-75,70,0.9337,0.7037,0.8187,101.0086,119.7324,59.6544,102.818,81.2362
Dataset004_LiTSMaisiFullMixed,volume-77,77,0.9494,0.547,0.7482,25.0,40.746,5.0606,7.4087,6.2346
Dataset004_LiTSMaisiFullMixed,volume-83,572,0.9696,0.3722,0.6709,16.4886,135.0559,3.0607,134.2545,68.6576
Dataset004_LiTSMaisiFullMixed,volume-86,496,0.9782,0.2792,0.6287,16.0518,13.5782,2.0728,11.3038,6.6883
Dataset004_LiTSMaisiFullMixed,volume-89,383,0.9466,0.0,0.4733,125.1869,1.8446742974197924e+19,70.986,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-91,375,0.9826,0.0,0.4913,151.7171,1.8446742974197924e+19,1.716,1.8446742974197924e+19,9.223371487098962e+18
Dataset004_LiTSMaisiFullMixed,volume-94,577,0.9583,0.6295,0.7939,139.1078,36.1581,7.1916,26.6721,16.9319
Dataset004_LiTSMaisiFullMixed,volume-97,574,0.821,0.8827,0.8518,117.2856,145.143,67.6512,3.5,35.5756
Dataset005_LiTSMaisi100_50,volume-0,58,0.9671,0.7152,0.8412,20.0743,101.4727,5.0,5.0,5.0
Dataset005_LiTSMaisi100_50,volume-103,529,0.9714,0.8883,0.9298,11.7518,104.6872,2.3705,3.0844,2.7275
Dataset005_LiTSMaisi100_50,volume-11,416,0.9574,0.8024,0.8799,143.965,46.178,5.1547,2.8395,3.9971
Dataset005_LiTSMaisi100_50,volume-114,423,0.9804,0.0,0.4902,85.1712,1.8446742974197924e+19,1.7567,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-116,583,0.9072,0.0,0.4536,33.7036,1.8446742974197924e+19,11.6256,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-117,462,0.9493,0.8832,0.9162,73.8925,22.2008,2.885,3.477,3.181
Dataset005_LiTSMaisi100_50,volume-118,251,0.949,0.8708,0.9099,117.695,48.5069,4.9679,8.9606,6.9643
Dataset005_LiTSMaisi100_50,volume-119,230,0.973,1.0,0.9865,410.5674,,3.5439,,3.5439
Dataset005_LiTSMaisi100_50,volume-120,263,0.9774,0.2664,0.6219,25.7681,146.7254,2.2403,140.8181,71.5292
Dataset005_LiTSMaisi100_50,volume-124,235,0.9729,0.8856,0.9293,24.2459,42.7451,2.0508,3.5932,2.822
Dataset005_LiTSMaisi100_50,volume-126,226,0.9789,0.554,0.7665,58.4101,99.2233,2.1107,95.6215,48.8661
Dataset005_LiTSMaisi100_50,volume-13,363,0.9607,0.585,0.7728,43.2628,26.2773,4.2383,14.5539,9.3961
Dataset005_LiTSMaisi100_50,volume-130,505,0.9059,0.6371,0.7715,40.1279,46.2346,12.9421,22.5423,17.7422
Dataset005_LiTSMaisi100_50,volume-17,404,0.9774,0.8585,0.9179,42.5169,166.3297,2.9766,2.2324,2.6045
Dataset005_LiTSMaisi100_50,volume-20,477,0.9714,0.5687,0.77,371.3442,94.1124,3.6762,88.8114,46.2438
Dataset005_LiTSMaisi100_50,volume-25,521,0.9672,0.0,0.4836,20.7388,1.8446742974197924e+19,4.2,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-27,428,0.96,0.8069,0.8834,21.1136,37.0486,3.9758,5.7211,4.8484
Dataset005_LiTSMaisi100_50,volume-28,63,0.9652,0.8596,0.9124,28.2843,26.4953,4.1231,5.099,4.6111
Dataset005_LiTSMaisi100_50,volume-29,69,0.9662,0.2693,0.6178,95.0,17.0,4.5826,12.0416,8.3121
Dataset005_LiTSMaisi100_50,volume-3,361,0.9761,0.8472,0.9117,24.7496,91.1372,2.4337,1.9611,2.1974
Dataset005_LiTSMaisi100_50,volume-35,60,0.9606,0.2374,0.599,80.9074,119.1512,14.1421,111.018,62.5801
Dataset005_LiTSMaisi100_50,volume-4,463,0.8912,0.877,0.8841,227.1924,60.4428,63.8395,9.1642,36.5019
Dataset005_LiTSMaisi100_50,volume-43,59,0.9233,0.6884,0.8059,40.3113,125.9405,13.9284,114.1488,64.0386
Dataset005_LiTSMaisi100_50,volume-53,64,0.9706,0.4906,0.7306,31.2383,64.6794,5.1704,5.8363,5.5033
Dataset005_LiTSMaisi100_50,volume-54,77,0.9714,0.3558,0.6636,22.4276,6.111,4.8288,5.3319,5.0803
Dataset005_LiTSMaisi100_50,volume-57,326,0.9592,0.809,0.8841,22.3948,76.4475,3.9874,2.4519,3.2197
Dataset005_LiTSMaisi100_50,volume-6,353,0.9728,0.8636,0.9182,27.5849,35.1085,3.1478,2.3504,2.7491
Dataset005_LiTSMaisi100_50,volume-62,114,0.9774,0.6624,0.8199,28.0116,7.5307,2.3794,3.2629,2.8212
Dataset005_LiTSMaisi100_50,volume-64,189,0.972,0.9606,0.9663,33.5577,125.6948,2.8028,2.1458,2.4743
Dataset005_LiTSMaisi100_50,volume-69,202,0.9666,0.8749,0.9208,23.2754,2.7182,3.3716,2.0,2.6858
Dataset005_LiTSMaisi100_50,volume-70,286,0.9576,0.8852,0.9214,23.9247,85.4359,3.5608,2.827,3.1939
Dataset005_LiTSMaisi100_50,volume-71,75,0.9392,0.6911,0.8151,19.3721,47.7609,5.5664,15.8047,10.6855
Dataset005_LiTSMaisi100_50,volume-75,70,0.9643,0.8151,0.8897,28.8399,132.2316,5.0,5.4926,5.2463
Dataset005_LiTSMaisi100_50,volume-77,77,0.9503,0.5791,0.7647,25.0,11.0435,5.0606,8.0023,6.5315
Dataset005_LiTSMaisi100_50,volume-83,572,0.9707,0.3619,0.6663,15.5864,134.7366,3.0607,134.1431,68.6019
Dataset005_LiTSMaisi100_50,volume-86,496,0.9779,0.5182,0.7481,15.3123,43.0548,1.9568,9.5702,5.7635
Dataset005_LiTSMaisi100_50,volume-89,383,0.9759,0.0,0.4879,76.2014,1.8446742974197924e+19,2.1674,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-91,375,0.9845,0.0,0.4922,149.0817,1.8446742974197924e+19,1.4534,1.8446742974197924e+19,9.223371487098962e+18
Dataset005_LiTSMaisi100_50,volume-94,577,0.9654,0.6606,0.813,32.7172,36.1581,3.5249,25.5946,14.5598
Dataset005_LiTSMaisi100_50,volume-97,574,0.855,0.8852,0.8701,117.0703,144.5173,66.9023,3.4667,35.1845
Dataset006_LiTSMaisi100_80,volume-0,58,0.9566,0.7099,0.8333,25.7981,102.3552,5.0,23.353,14.1765
Dataset006_LiTSMaisi100_80,volume-103,529,0.9711,0.8656,0.9183,10.9939,8.9196,2.3705,3.4247,2.8976
Dataset006_LiTSMaisi100_80,volume-11,416,0.928,0.8143,0.8712,144.8948,70.3431,104.4714,2.2501,53.3607
Dataset006_LiTSMaisi100_80,volume-114,423,0.9712,0.0,0.4856,107.7083,1.8446742974197924e+19,2.5991,1.8446742974197924e+19,9.223371487098962e+18
Dataset006_LiTSMaisi100_80,volume-116,583,0.9052,0.0,0.4526,34.3829,1.8446742974197924e+19,12.3545,1.8446742974197924e+19,9.223371487098962e+18
Dataset006_LiTSMaisi100_80,volume-117,462,0.9472,0.8808,0.914,197.9835,21.0433,3.1445,3.4,3.2723
Dataset006_LiTSMaisi100_80,volume-118,251,0.9442,0.8681,0.9062,120.2874,48.8989,5.9995,9.1157,7.5576
Dataset006_LiTSMaisi100_80,volume-119,230,0.9721,1.0,0.986,25.4788,,3.7734,,3.7734
Dataset006_LiTSMaisi100_80,volume-120,263,0.9762,0.6154,0.7958,33.5165,221.4969,2.6896,122.3463,62.5179
Dataset006_LiTSMaisi100_80,volume-124,235,0.9742,0.8859,0.9301,27.3716,43.8138,1.9777,3.8043,2.891
Dataset006_LiTSMaisi100_80,volume-126,226,0.9792,0.7292,0.8542,50.7619,99.6446,2.3943,95.5094,48.9519
Dataset006_LiTSMaisi100_80,volume-13,363,0.9622,0.5589,0.7605,52.1071,70.1961,4.3547,27.9232,16.139
Dataset006_LiTSMaisi100_80,volume-130,505,0.9468,0.6907,0.8188,41.3175,46.2346,9.5511,22.4345,15.9928
Dataset006_LiTSMaisi100_80,volume-17,404,0.9677,0.8405,0.9041,139.8126,168.8409,8.2066,2.4,5.3033
Dataset006_LiTSMaisi100_80,volume-20,477,0.9648,0.3925,0.6787,135.5892,94.7397,5.8436,89.1579,47.5008
Dataset006_LiTSMaisi100_80,volume-25,521,0.972,0.0,0.486,20.672,1.8446742974197924e+19,3.2413,1.8446742974197924e+19,9.223371487098962e+18
Dataset006_LiTSMaisi100_80,volume-27,428,0.9576,0.7909,0.8742,21.4205,37.0486,4.2469,6.1043,5.1756
Dataset006_LiTSMaisi100_80,volume-28,63,0.9675,0.8787,0.9231,43.2666,25.4755,3.7417,5.099,4.4203
Dataset006_LiTSMaisi100_80,volume-29,69,0.97,0.491,0.7305,57.7062,143.0839,3.4641,11.1803,7.3222
Dataset006_LiTSMaisi100_80,volume-3,361,0.9758,0.8266,0.9012,28.6041,90.4913,2.7734,1.8449,2.3092
Dataset006_LiTSMaisi100_80,volume-35,60,0.9622,0.1953,0.5787,101.9215,142.692,12.3693,112.3483,62.3588
Dataset006_LiTSMaisi100_80,volume-4,463,0.8405,0.8956,0.868,230.395,60.2133,73.2134,6.6177,39.9155
Dataset006_LiTSMaisi100_80,volume-43,59,0.9625,0.6876,0.825,23.7697,117.8898,5.1962,111.3059,58.251
Dataset006_LiTSMaisi100_80,volume-53,64,0.9661,0.5835,0.7748,122.3811,140.6694,7.8892,4.8192,6.3542
Dataset006_LiTSMaisi100_80,volume-54,77,0.9671,0.4664,0.7167,21.6971,5.5832,5.0,5.0,5.0
Dataset006_LiTSMaisi100_80,volume-57,326,0.9599,0.8573,0.9086,21.9398,84.6743,3.7864,1.5973,2.6919
Dataset006_LiTSMaisi100_80,volume-6,353,0.9734,0.8422,0.9078,65.794,7.5248,3.1777,3.0,3.0888
Dataset006_LiTSMaisi100_80,volume-62,114,0.975,0.6296,0.8023,28.6192,98.7184,2.4652,3.5083,2.9868
Dataset006_LiTSMaisi100_80,volume-64,189,0.9695,0.9623,0.9659,168.0017,4.3973,3.6971,2.0,2.8485
Dataset006_LiTSMaisi100_80,volume-69,202,0.967,0.8476,0.9073,23.2754,158.1095,3.1084,2.1374,2.6229
Dataset006_LiTSMaisi100_80,volume-70,286,0.962,0.8844,0.9232,14.1478,85.3124,2.7711,3.0474,2.9092
Dataset006_LiTSMaisi100_80,volume-71,75,0.9346,0.5793,0.7569,25.3237,82.6484,6.6955,17.6788,12.1872
Dataset006_LiTSMaisi100_80,volume-75,70,0.963,0.8126,0.8878,39.9672,61.0268,5.0,28.7222,16.8611
Dataset006_LiTSMaisi100_80,volume-77,77,0.9517,0.3051,0.6284,25.0,40.746,5.0008,10.6796,7.8402
Dataset006_LiTSMaisi100_80,volume-83,572,0.9701,0.6087,0.7894,24.9043,1.6596,3.0201,1.2616,2.1409
Dataset006_LiTSMaisi100_80,volume-86,496,0.9777,0.0556,0.5167,20.45,18.9986,2.0563,16.81,9.4331
Dataset006_LiTSMaisi100_80,volume-89,383,0.9754,1.0,0.9877,94.1003,,2.0144,,2.0144
Dataset006_LiTSMaisi100_80,volume-91,375,0.983,0.0,0.4915,151.5816,1.8446742974197924e+19,1.6,1.8446742974197924e+19,9.223371487098962e+18
Dataset006_LiTSMaisi100_80,volume-94,577,0.9634,0.4916,0.7275,96.7685,99.1574,4.2,84.7955,44.4977
Dataset006_LiTSMaisi100_80,volume-97,574,0.8259,0.8781,0.852,116.9303,144.826,66.8606,3.6133,35.2369
Dataset007_LiTSMaisi100_30,volume-0,58,0.9559,0.6787,0.8173,21.5834,37.9036,5.0,5.0,5.0
Dataset007_LiTSMaisi100_30,volume-103,529,0.9737,0.8816,0.9277,12.0982,65.4545,2.3705,3.0844,2.7275
Dataset007_LiTSMaisi100_30,volume-11,416,0.9629,0.7999,0.8814,32.2608,70.3431,4.1341,2.4225,3.2783
Dataset007_LiTSMaisi100_30,volume-114,423,0.9822,0.0,0.4911,9.6728,1.8446742974197924e+19,1.6,1.8446742974197924e+19,9.223371487098962e+18
Dataset007_LiTSMaisi100_30,volume-116,583,0.9062,0.0,0.4531,33.0264,158.7809,11.7194,141.7085,76.7139
Dataset007_LiTSMaisi100_30,volume-117,462,0.9495,0.8823,0.9159,18.36,17.7277,2.8411,3.4,3.1206
Dataset007_LiTSMaisi100_30,volume-118,251,0.944,0.8221,0.883,119.9862,20.4215,6.0,10.6693,8.3346
Dataset007_LiTSMaisi100_30,volume-119,230,0.9769,1.0,0.9884,22.3625,,3.0609,,3.0609
Dataset007_LiTSMaisi100_30,volume-120,263,0.975,0.7439,0.8595,39.8016,41.0239,3.0,5.3167,4.1584
Dataset007_LiTSMaisi100_30,volume-124,235,0.9741,0.8916,0.9329,29.5532,50.0706,2.0977,3.1737,2.6357
Dataset007_LiTSMaisi100_30,volume-126,226,0.9811,0.7434,0.8622,51.5867,99.6446,2.1107,96.2188,49.1647
Dataset007_LiTSMaisi100_30,volume-13,363,0.9681,0.5621,0.7651,23.6118,38.3906,3.3444,25.5084,14.4264
Dataset007_LiTSMaisi100_30,volume-130,505,0.9095,0.4668,0.6882,50.1533,47.5437,14.542,31.3374,22.9397
Dataset007_LiTSMaisi100_30,volume-17,404,0.9769,0.8466,0.9117,38.8626,4.8315,3.4227,2.2517,2.8372
Dataset007_LiTSMaisi100_30,volume-20,477,0.9685,0.5762,0.7723,27.6568,92.8827,4.5332,86.7989,45.666
Dataset007_LiTSMaisi100_30,volume-25,521,0.9668,0.0,0.4834,24.4478,1.8446742974197924e+19,4.5301,1.8446742974197924e+19,9.223371487098962e+18
Dataset007_LiTSMaisi100_30,volume-27,428,0.9561,0.8042,0.8801,60.2993,40.1316,4.452,5.8777,5.1649
Dataset007_LiTSMaisi100_30,volume-28,63,0.9656,0.8977,0.9317,37.855,25.4755,3.7417,3.6056,3.6736
Dataset007_LiTSMaisi100_30,volume-29,69,0.9538,0.3498,0.6518,84.2556,16.7631,8.4853,11.0454,9.7653
Dataset007_LiTSMaisi100_30,volume-3,361,0.9762,0.8457,0.9109,27.1448,91.0659,2.308,1.7097,2.0088
Dataset007_LiTSMaisi100_30,volume-35,60,0.9395,0.4577,0.6986,120.3204,118.8781,17.1172,87.7112,52.4142
Dataset007_LiTSMaisi100_30,volume-4,463,0.9095,0.8979,0.9037,126.0645,60.2133,18.2298,6.6177,12.4238
Dataset007_LiTSMaisi100_30,volume-43,59,0.9466,0.0777,0.5121,45.3431,146.8979,9.0,124.4709,66.7354
Dataset007_LiTSMaisi100_30,volume-53,64,0.9604,0.5268,0.7436,46.0674,17.6528,8.6326,11.3494,9.991
Dataset007_LiTSMaisi100_30,volume-54,77,0.9664,0.5879,0.7771,21.085,5.0681,5.0,5.0,5.0
Dataset007_LiTSMaisi100_30,volume-57,326,0.9557,0.8699,0.9128,22.6494,2.8266,4.005,1.4342,2.7196
Dataset007_LiTSMaisi100_30,volume-6,353,0.9714,0.8576,0.9145,54.506,7.5248,3.2954,2.6191,2.9573
Dataset007_LiTSMaisi100_30,volume-62,114,0.978,0.714,0.846,27.7223,6.8367,2.3794,2.7819,2.5806
Dataset007_LiTSMaisi100_30,volume-64,189,0.9703,0.9632,0.9667,33.1117,4.3973,4.0,2.0,3.0
Dataset007_LiTSMaisi100_30,volume-69,202,0.9662,0.8772,0.9217,23.2754,2.7182,3.3716,2.0,2.6858
Dataset007_LiTSMaisi100_30,volume-70,286,0.9608,0.8676,0.9142,15.064,85.8737,3.0179,3.2938,3.1559
Dataset007_LiTSMaisi100_30,volume-71,75,0.9411,0.7027,0.8219,19.308,82.5002,5.7224,15.4176,10.57
Dataset007_LiTSMaisi100_30,volume-75,70,0.9641,0.8332,0.8987,40.5025,75.6793,5.0,5.0,5.0
Dataset007_LiTSMaisi100_30,volume-77,77,0.9524,0.5247,0.7386,23.9703,40.0439,5.0606,7.7703,6.4155
Dataset007_LiTSMaisi100_30,volume-83,572,0.9757,0.3096,0.6426,21.8848,135.5343,2.0405,134.8693,68.4549
Dataset007_LiTSMaisi100_30,volume-86,496,0.9801,0.5116,0.7459,15.7836,11.9274,1.9568,9.1256,5.5412
Dataset007_LiTSMaisi100_30,volume-89,383,0.9773,1.0,0.9887,11.3313,,1.9713,,1.9713
Dataset007_LiTSMaisi100_30,volume-91,375,0.9842,0.0,0.4921,149.4343,1.8446742974197924e+19,1.6,1.8446742974197924e+19,9.223371487098962e+18
Dataset007_LiTSMaisi100_30,volume-94,577,0.9644,0.6552,0.8098,33.2074,93.2056,3.7276,44.3217,24.0246
Dataset007_LiTSMaisi100_30,volume-97,574,0.9578,0.8836,0.9207,88.535,137.4924,2.698,3.2328,2.9654
